candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
113,candidate-0113-flavio-briatore,Flavio Briatore,1950,BUSINESSPERSON,Italy,M,28,70.911423,https://en.wikipedia.org/?curid=614426,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
114,candidate-0114-christiane-nüsslein-volhard,Christiane Nüsslein-Volhard,1942,BIOLOGIST,Germany,F,65,70.901513,https://en.wikipedia.org/?curid=222990,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
115,candidate-0115-makoto-kobayashi,Makoto Kobayashi,1944,PHYSICIST,Japan,M,62,70.900032,https://en.wikipedia.org/?curid=10899099,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
116,candidate-0116-robert-kardashian,Robert Kardashian,1944,BUSINESSPERSON,United States,M,33,70.898837,https://en.wikipedia.org/?curid=333012,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
117,candidate-0117-richard-f.-heck,Richard F. Heck,1931,CHEMIST,United States,M,59,70.882601,https://en.wikipedia.org/?curid=17951090,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
118,candidate-0118-bernie-ecclestone,Bernie Ecclestone,1930,BUSINESSPERSON,United Kingdom,M,43,70.863829,https://en.wikipedia.org/?curid=411352,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
119,candidate-0119-akira-suzuki,Akira Suzuki,1930,CHEMIST,Japan,M,64,70.852247,https://en.wikipedia.org/?curid=26635194,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
120,candidate-0120-frances-e.-allen,Frances E. Allen,1932,COMPUTER SCIENTIST,United States,F,41,70.82115,https://en.wikipedia.org/?curid=9352739,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
121,candidate-0121-ron-dennis,Ron Dennis,1947,BUSINESSPERSON,United Kingdom,M,30,70.744671,https://en.wikipedia.org/?curid=743649,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
122,candidate-0122-bassel-al-assad,Bassel al-Assad,1962,ENGINEER,Syria,M,32,70.714808,https://en.wikipedia.org/?curid=2246162,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
123,candidate-0123-erwin-neher,Erwin Neher,1944,BIOLOGIST,Germany,M,53,70.670307,https://en.wikipedia.org/?curid=762732,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
124,candidate-0124-claude-cohen-tannoudji,Claude Cohen-Tannoudji,1933,PHYSICIST,Algeria,M,68,70.67024,https://en.wikipedia.org/?curid=630821,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
125,candidate-0125-peter-j.-ratcliffe,Peter J. Ratcliffe,1954,CHEMIST,United Kingdom,M,47,70.635162,https://en.wikipedia.org/?curid=37630676,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
126,candidate-0126-sidney-altman,Sidney Altman,1939,CHEMIST,Canada,M,56,70.503935,https://en.wikipedia.org/?curid=51775,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
127,candidate-0127-robert-huber,Robert Huber,1937,CHEMIST,Germany,M,51,70.478826,https://en.wikipedia.org/?curid=1322930,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
128,candidate-0128-georges-j.-f.-köhler,Georges J. F. Köhler,1946,BIOLOGIST,Germany,M,48,70.365378,https://en.wikipedia.org/?curid=1607609,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
129,candidate-0129-johann-deisenhofer,Johann Deisenhofer,1943,CHEMIST,Germany,M,50,70.1901,https://en.wikipedia.org/?curid=569123,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
130,candidate-0130-svante-pääbo,Svante Pääbo,1955,BIOLOGIST,Sweden,M,65,70.182867,https://en.wikipedia.org/?curid=73016,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
131,candidate-0131-edsger-w.-dijkstra,Edsger W. Dijkstra,1930,COMPUTER SCIENTIST,Netherlands,M,61,70.135085,https://en.wikipedia.org/?curid=10018,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
132,candidate-0132-andrew-wiles,Andrew Wiles,1953,MATHEMATICIAN,Germany,M,62,69.988614,https://en.wikipedia.org/?curid=2027,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
133,candidate-0133-gérard-mourou,Gérard Mourou,1944,PHYSICIST,France,M,56,69.956043,https://en.wikipedia.org/?curid=2142322,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
134,candidate-0134-geoffrey-hinton,Geoffrey Hinton,1947,COMPUTER SCIENTIST,United Kingdom,M,56,69.890445,https://en.wikipedia.org/?curid=507174,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
135,candidate-0135-niklaus-wirth,Niklaus Wirth,1934,COMPUTER SCIENTIST,Switzerland,M,54,69.80342,https://en.wikipedia.org/?curid=21642,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
136,candidate-0136-ratko-janev,Ratko Janev,1939,PHYSICIST,Bulgaria,M,50,69.791836,https://en.wikipedia.org/?curid=37531982,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
137,candidate-0137-anton-zeilinger,Anton Zeilinger,1945,PHYSICIST,Austria,M,52,69.760381,https://en.wikipedia.org/?curid=918635,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
138,candidate-0138-jim-peebles,Jim Peebles,1935,PHYSICIST,Canada,M,60,69.723582,https://en.wikipedia.org/?curid=864778,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
139,candidate-0139-pierre-gilles-de-gennes,Pierre-Gilles de Gennes,1932,PHYSICIST,France,M,62,69.574987,https://en.wikipedia.org/?curid=575754,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
140,candidate-0140-serge-haroche,Serge Haroche,1944,PHYSICIST,Morocco,M,64,69.501591,https://en.wikipedia.org/?curid=14661857,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
141,candidate-0141-charles-k.-kao,Charles K. Kao,1933,INVENTOR,China,M,68,69.485747,https://en.wikipedia.org/?curid=51012,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
142,candidate-0142-arthur-b.-mcdonald,Arthur B. McDonald,1943,ASTRONOMER,Canada,M,65,69.466648,https://en.wikipedia.org/?curid=14031024,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
143,candidate-0143-toshihide-maskawa,Toshihide Maskawa,1940,PHYSICIST,Japan,M,63,69.393103,https://en.wikipedia.org/?curid=10899167,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
144,candidate-0144-piero-ferrari,Piero Ferrari,1945,BUSINESSPERSON,Italy,M,19,69.354632,https://en.wikipedia.org/?curid=5876748,unresearched,unverified_candidate,Tech-focused queue; HPI is not evidence of early success.
